Average degree;Bipartite;Claw-free;Clique number;Connected;Density;Diameter;Edge connectivity;Eulerian;Matching number;Maximum degree;Minimum degree;Number of components;Number of edges;Number of triangles;Number of vertices ;Planar ;Radius;Regular;Vertex connectivity;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Domination number;Independence number;Chromatic Index
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.61991;2.67718;-2.61991;0.32282;3;5;9;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.61533;2.73187;-2.61533;0.26813;3;4;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.62705;2.75753;-2.62705;0.24247;3;5;9;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.62997;2.75768;-2.62997;0.24232;3;5;9;13;4
3;0;0;2;1;0.10345;5;3;0;15;3;3;1;45;0;30;0;4;1;3;5.57093;2.62085;-2.57093;0.37915;3;5;9;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.74034;2.59078;-2.74034;0.40922;3;5;8;13;4
3;0;0;2;1;0.10345;5;3;0;15;3;3;1;45;0;30;0;4;1;3;5.58712;2.57883;-2.58712;0.42117;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.70102;2.59702;-2.70102;0.40298;3;5;8;13;4
3;0;0;2;1;0.10345;5;3;0;15;3;3;1;45;0;30;0;4;1;3;5.70365;2.62844;-2.70365;0.37156;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.57460;2.65060;-2.5746;0.3494;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.71271;2.76766;-2.71271;0.23234;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.57879;2.75694;-2.57879;0.24306;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.70337;2.74856;-2.70337;0.25144;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.70434;2.75103;-2.70434;0.24897;3;5;8;13;4
3;0;0;2;1;0.10345;7;3;0;15;3;3;1;45;0;30;0;4;1;3;5.76526;2.77422;-2.76526;0.22578;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.66218;2.75789;-2.66218;0.24211;3;4;9;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.65881;2.76379;-2.65881;0.23621;3;5;9;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.62774;2.74681;-2.62774;0.25319;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.57394;2.74705;-2.57394;0.25295;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.63083;2.74682;-2.63083;0.25318;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.67834;2.74377;-2.67834;0.25623;3;4;9;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.67770;2.74411;-2.6777;0.25589;3;4;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.68888;2.74404;-2.68888;0.25596;3;4;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.70476;2.74851;-2.70476;0.25149;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.70433;2.74850;-2.70433;0.2515;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.68250;2.76772;-2.6825;0.23228;3;4;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.68886;2.75899;-2.68886;0.24101;3;4;9;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.63378;2.75817;-2.63378;0.24183;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.63874;2.75816;-2.63874;0.24184;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.59959;2.65912;-2.59959;0.34088;3;5;8;13;4
3;0;0;2;1;0.10345;7;3;0;15;3;3;1;45;0;30;0;4;1;3;5.63643;2.78127;-2.63643;0.21873;3;5;9;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.63787;2.75150;-2.63787;0.2485;3;5;8;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.60828;2.66516;-2.60828;0.33484;3;5;9;13;4
3;0;0;2;1;0.10345;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.65930;2.61629;-2.6593;0.38371;3;5;8;13;4
3;0;0;2;1;0.103;4;3;0;15;3;3;1;45;0;30;0;4;1;3;5.830;2.562;-2.583;0.438;3;6;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.696;2.650;-2.696;0.35;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.574;2.632;-2.574;0.368;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.750;2.670;-2.75;0.33;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.528;2.632;-2.528;0.368;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.663;2.640;-2.663;0.36;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.685;2.628;-2.685;0.372;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.582;2.698;-2.582;0.302;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.568;2.688;-2.568;0.312;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.579;2.686;-2.579;0.314;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.680;2.622;-2.68;0.378;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.552;2.601;-2.552;0.399;3;5;9;13;4
