Bipartite;Clique number;Density;Diameter;Edge connectivity;Matching number;Radius;Vertex connectivity;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Group Size;Domination number;Independence number;Chromatic Index
0;2;0.09677;6;3;16;5;3;5.53749;2.74720;-2.53749;0.2528;3;5;1;9;13;4
0;2;0.09677;6;3;16;5;3;5.52983;2.74529;-2.52983;0.25471;3;5;1;9;13;4
0;2;0.09677;6;3;16;4;3;5.64197;2.70565;-2.64197;0.29435;3;5;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.58478;2.74758;-2.58478;0.25242;3;5;1;9;13;4
0;2;0.09677;6;3;16;5;3;5.70121;2.72418;-2.70121;0.27582;3;5;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.69089;2.72511;-2.69089;0.27489;3;5;1;9;14;4
0;2;0.0967;6;3;16;5;3;5.63382;2.69231;-2.63382;0.30769;3;4;1;9;13;4
0;2;0.09677;6;3;16;5;3;5.70131;2.70473;-2.70131;0.29527;3;4;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.70855;2.72431;-2.70855;0.27569;3;4;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.71074;2.72322;-2.71074;0.27678;3;4;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.69349;2.72354;-2.69349;0.27646;3;4;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.68631;2.72307;-2.688631;0.27693;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.72311;2.72748;-2.72311;0.27252;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.80831;2.72731;-2.80831;0.27269;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.74831;2.72801;-2.74831;0.27199;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.73741;2.72751;-2.73741;0.27249;3;5;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.69933;2.70589;-2.69933;0.29411;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.65997;2.70587;-2.65997;0.29413;3;4;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.69871;2.71380;-2.69871;0.2862;3;4;1;9;14;4
0;2;0.0967;6;3;16;4;3;5.66743;2.73135;-2.66743;0.26865;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.64112;2.72661;-2.64112;0.27339;3;5;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.63855;2.72660;-2.63855;0.2734;3;5;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.70080;2.72451;-2.7008;0.27549;3;4;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.71469;2.72379;-2.71469;0.27621;3;4;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.68347;2.72357;-2.68347;0.27643;3;5;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.70545;2.723612;-2.70545;0.27388;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.64257;2.72976;-2.64257;0.27024;3;5;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.67737;2.72954;-2.67737;0.27046;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.69586;2.72777;-2.69586;0.27223;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.65728;2.72955;-2.65728;0.27045;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.71955;2.73015;-2.71955;0.26985;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.74082;2.73004;-2.74082;0.26996;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.63573;2.72799;-2.63573;0.27201;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.71724;2.72974;-2.71724;0.27026;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.70552;2.72787;-2.70552;0.27213;3;5;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.72514;2.72820;-2.72514;0.2718;3;4;1;9;14;4
0;2;0.09677;6;3;16;4;3;5.74474;2.72964;-2.74474;0.27036;3;4;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.70488;2.72356;-2.70488;0.27644;3;5;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.63657;2.73408;-2.63657;0.26592;3;5;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.61211;2.65580;-2.61211;0.3442;3;5;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.59003;2.62728;-2.59003;0.37272;3;5;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.62894;2.63838;-2.62894;0.36162;3;5;1;9;13;4
0;2;0.09677;6;3;16;5;3;5.62458;2.62851;-2.62458;0.37149;3;5;1;9;13;4
0;2;0.09677;5;3;16;5;3;5.66528;2.62535;-2.66528;0.37465;3;4;1;9;14;4
0;2;0.09677;6;3;16;5;3;5.62536;2.63808;-2.62536;0.36192;3;4;1;9;14;4
