Density;Diameter;Edge connectivity;Planar ;Radius;Vertex connectivity;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Girth;Group Size;Domination number;Independence number;Chromatic Index
0.09091;5;3;1;6;3;5.595;2.645;-2.595;0.355;5;2;10;14;3
0.09091;5;3;0;4;3;5.723;2.395;-2.723;0.605;7;1;9;15;3
0.09091;5;3;0;4;3;5.761;2.395;-2.761;0.605;7;1;10;15;3
0.09091;5;3;0;4;3;5.723;2.394;-2.723;0.606;7;1;10;15;3
0.09091;5;3;0;4;3;5.707;2.393;-2.707;0.607;7;1;9;15;3
0.09091;5;3;0;5;3;5.77;2.394;-2.77;0.606;7;1;10;15;3
0.09091;5;3;0;4;3;5.722;2.394;-2.722;0.606;7;1;9;15;3
0.09091;5;3;0;4;3;5.722;2.394;-2.722;0.606;7;1;9;15;3
0.09091;5;3;0;4;3;5.72;2.396;-2.72;0.604;7;1;10;15;3
0.09091;5;3;0;5;3;5.724;2.394;-2.724;0.606;7;1;9;15;3
0.09091;5;3;0;4;3;5.72;2.396;-2.72;0.604;7;1;9;15;3
0.09091;5;3;0;4;3;5.723;2.393;-2.723;0.607;7;1;9;15;3
0.09091;5;3;0;4;3;5.724;2.39;-2.724;0.61;7;1;10;15;3
0.09091;5;3;0;4;3;5.724;2.39;-2.724;0.61;7;1;10;15;3
0.09091;5;3;0;4;3;5.706;2.391;-2.706;0.61;7;1;10;15;3
0.09091;5;3;0;4;3;5.735;2.376;-2.735;0.625;7;1;9;15;3
0.09091;5;3;0;4;3;5.77;2.39;-2.77;0.61;7;1;10;15;3
0.09091;5;3;0;4;3;5.764;2.39;-2.764;0.61;7;1;10;15;3
0.09091;5;3;0;4;3;5.723;2.373;-2.73;0.627;7;1;9;15;3
0.09091;5;3;0;4;3;5.736;2.374;-2.736;0.626;7;1;9;15;3
0.09091;6;3;0;4;3;5.731;2.374;-2.731;0.626;7;1;10;15;3
0.09091;5;3;0;4;3;5.793;2.377;-2.793;0.623;7;1;10;15;3
0.09091;5;3;0;4;3;5.769;2.391;-2.769;0.609;7;1;10;15;3
0.09091;5;3;0;4;3;5.764;2.391;-2.764;0.609;7;1;10;15;3
0.09091;5;3;0;4;3;5.752;2.377;-2.752;0.623;7;1;10;15;3
0.09091;5;3;0;4;3;5.781;2.392;-2.758;0.608;7;1;10;15;3
0.09091;5;3;0;4;3;5.795;2.391;-2.795;0.609;7;1;10;15;3
0.09091;5;3;0;4;3;5.795;2.391;-2.795;0.609;7;1;10;15;3
0.09091;6;3;0;4;3;5.727;2.377;-2.727;0.623;7;1;10;15;3
0.09091;6;3;0;4;3;5.727;2.377;-2.727;0.623;7;1;9;15;3
0.09091;5;3;0;4;3;5.727;2.377;-2.727;0.623;7;1;10;15;3
0.09091;5;3;0;5;3;5.797;2.377;-2.797;0.623;7;1;10;15;3
0.09091;6;3;0;4;3;5.734;2.378;-2.734;0.622;7;1;10;15;3
0.09091;6;3;0;4;3;5.734;2.377;-2.734;0.623;7;1;10;15;3
0.09091;5;3;0;4;3;5.76;2.377;-2.76;0.623;7;1;9;15;3
0.09091;5;3;0;5;3;5.734;2.377;-2.734;0.623;7;1;10;15;3
0.09091;5;3;0;4;3;5.792;2.393;-2.792;0.607;7;1;10;15;3
0.09091;5;3;0;4;3;5.762;2.394;-2.762;0.606;7;1;10;15;3
0.09091;5;3;0;4;3;5.757;2.397;-2.757;0.603;7;1;10;15;3
0.09091;6;3;0;4;3;5.751;2.374;-2.751;0.626;7;1;10;15;3
0.09091;5;3;0;4;3;5.752;2.373;-2.752;0.627;7;1;10;15;3
0.09091;6;3;0;4;3;5.724;2.376;-2.724;0.624;7;1;10;15;3
0.09091;5;3;0;4;3;5.724;2.377;-2.724;0.627;7;1;10;15;3
0.09091;6;3;0;4;3;5.728;2.375;-2.728;0.625;7;1;10;15;3
0.09091;5;3;0;5;3;5.728;2.372;-2.728;0.628;7;1;10;15;3
0.09091;5;3;0;4;3;5.759;2.372;-2.759;0.628;7;1;10;15;3
0.09091;6;3;0;5;3;5.758;2.373;-2.758;0.627;7;1;10;15;3
0.09091;5;3;0;4;3;5.76;2.395;-2.76;0.605;7;1;10;15;3
0.09091;5;3;0;4;3;5.762;2.393;-2.762;0.607;7;1;10;15;3
0.09091;5;3;0;4;3;5.706;2.396;-2.706;0.604;7;1;9;15;3
0.09091;5;3;0;4;3;5.712;2.395;-2.712;0.605;7;1;9;15;3
0.09091;5;3;0;4;3;5.712;2.393;-2.712;0.607;7;1;10;15;3
0.09091;5;3;0;4;3;5.707;2.395;-2.707;0.605;7;1;10;15;3
0.09091;5;3;0;5;3;5.707;2.398;-2.707;0.602;7;1;9;15;3
0.09091;5;3;0;4;3;5.706;2.398;-2.706;0.603;7;1;10;15;3
0.09091;5;3;0;5;3;5.718;2.394;-2.718;0.606;7;1;10;15;3
0.09091;5;3;0;4;3;5.719;2.391;-2.719;0.607;7;1;9;15;3
0.09091;5;3;0;4;3;5.717;2.396;-2.717;0.604;7;1;10;15;3
0.09091;5;3;0;5;3;5.719;2.393;-2.719;0.607;7;1;10;15;3
0.09091;5;3;0;4;3;5.717;2.396;-2.717;0.604;7;1;9;15;3
0.09091;5;3;0;4;3;5.72;2.393;-2.72;0.607;7;1;10;15;3
0.09091;5;3;0;4;3;5.709;2.392;-2.709;0.608;7;1;9;15;3
0.09091;5;3;0;5;3;5.76;2.391;-2.76;0.609;7;1;9;15;3
0.09091;5;3;0;4;3;5.691;2.394;-2.691;0.606;7;1;10;15;3
0.09091;5;3;0;4;3;5.692;2.394;-2.692;0.606;7;1;9;15;3
0.09091;5;3;0;4;3;5.692;2.394;-2.692;0.606;7;1;10;15;3
0.09091;5;3;0;5;3;5.692;2.394;-2.692;0.606;7;1;9;15;3
0.09091;5;3;0;5;3;5.734;2.375;-2.734;0.625;7;1;9;15;3
0.09091;5;3;0;4;3;5.727;2.372;-2.727;0.628;7;1;9;15;3
0.09091;5;3;0;4;3;5.735;2.373;-2.735;0.627;7;1;9;15;3
0.09091;5;3;0;4;3;5.71;2.387;-2.71;0.613;7;1;10;15;3
0.09091;5;3;0;4;3;5.759;2.387;-2.759;0.613;7;1;10;15;3
0.09091;6;3;0;5;3;5.728;2.373;-2.783;0.627;7;1;10;15;3
0.09091;5;3;0;4;3;5.642;2.398;-2.642;0.602;7;1;10;14;3
0.09091;5;3;0;4;3;5.716;2.394;-2.716;0.604;7;1;10;15;3
0.09091;5;3;0;4;3;5.613;2.366;-2.613;0.634;7;1;10;14;3
0.09091;5;3;0;4;3;5.634;2.367;-2.634;0.633;7;1;10;14;3
0.09091;5;3;0;4;3;5.623;2.36;-2.629;0.64;7;1;10;14;3
0.09091;5;3;0;5;3;5.6;2.364;-2.6;0.636;7;1;10;14;3
0.09091;5;3;0;4;3;5.694;2.375;-2.694;0.625;7;1;10;15;3
0.09091;5;3;0;4;3;5.605;2.362;-2.605;0.637;7;1;10;14;3
0.09091;5;3;0;4;3;5.708;2.376;-2.708;0.624;7;1;10;15;3
0.09091;5;3;0;4;3;5.719;2.378;-2.719;0.622;7;1;10;15;3
0.09091;5;3;0;5;3;5.704;2.378;-2.704;0.622;7;1;10;15;3
0.09091;5;3;0;4;3;5.684;2.379;-2.684;0.621;7;1;9;14;3
0.09091;5;3;0;4;3;5.617;2.357;-2.617;0.642;7;1;9;14;3
