Density;Diameter;Radius;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Girth;Group Size;Domination number;Independence number;Chromatic index
0.08571;5;5;5.701;2.458;-2.701;0.542;7;1;10;15;3
0.08571;5;5;5.697;2.458;-2.697;0.542;7;1;10;15;3
0.08571;5;4;5.699;2.453;-2.699;0.547;7;1;10;15;3
0.08571;5;4;5.699;2.453;-2.699;0.547;7;1;10;15;3
0.08571;5;4;5.716;2.458;-2.716;0.542;7;1;10;16;3
0.08571;5;4;5.714;2.458;-2.714;0.542;7;1;10;16;3
0.08571;6;5;5.757;2.458;-2.757;0.542;7;1;10;16;3
0.08571;5;5;5.727;2.291;-2.727;0.547;7;1;10;16;3
0.08571;5;5;5.726;2.912;-2.726;0.547;7;1;10;16;3
0.08571;5;4;5.73;2.453;-2.73;0.547;7;1;10;16;3
0.08571;5;4;5.728;2.454;-2.728;0.546;7;1;10;16;3
0.08571;5;5;5.696;2.458;-2.696;0.542;7;1;10;15;3
0.08571;6;5;5.754;2.458;-2.754;0.542;7;1;10;16;3
0.08571;5;5;5.696;2.28;-2.696;0.548;7;1;10;15;3
0.08571;5;5;5.696;2.452;-2.696;0.548;7;1;10;15;3
0.08571;5;5;5.727;2.453;-2.727;0.547;7;1;10;15;3
0.08571;5;4;5.727;2.454;-2.727;0.547;7;1;10;16;3
0.08571;5;4;5.728;2.454;-2.728;0.546;7;1;10;16;3
0.08571;5;4;5.73;2.454;-2.73;0.546;7;1;10;16;3
0.08571;5;5;5.712;2.458;-2.712;0.542;7;1;10;16;3
0.08571;5;5;5.775;2.458;-2.775;0.542;7;1;10;16;3
0.08571;6;4;5.775;2.458;-2.775;0.542;7;1;10;16;3
0.08571;5;5;5.701;2.459;-2.701;0.541;7;1;10;15;3
0.08571;5;5;5.703;2.454;-2.703;0.546;7;1;10;15;3
0.08571;5;5;5.704;2.454;-2.704;0.546;7;1;10;15;3
0.08571;5;5;5.697;2.459;-2.697;0.541;7;1;10;15;3
0.08571;5;4;5.723;2.459;-2.723;0.541;7;1;10;16;3
0.08571;5;4;5.719;2.459;-2.719;0.541;7;1;10;16;3
0.08751;5;5;5.728;2.453;-2.728;0.547;7;1;10;16;3
0.08571;5;5;5.725;2.453;-2.725;0.547;7;1;10;16;3
0.08571;5;5;5.726;2.453;-2.726;0.547;7;1;10;16;3
0.08571;5;5;5.728;2.454;-2.728;0.546;7;1;10;16;3
0.08571;5;5;5.706;2.452;-2.706;0.548;7;1;10;15;3
0.08571;5;5;5.71;2.452;-2.71;0.548;7;1;10;15;3
0.08571;5;5;5.701;2.453;-2.701;0.547;7;1;10;15;3
0.08571;5;5;5.696;2.452;-2.696;0.548;7;1;10;15;3
0.08571;5;5;5.696;2.452;-2.696;0.548;7;1;10;15;3
0.08571;5;4;5.722;2.454;-2.722;0.546;7;1;10;16;3
0.08571;5;5;5.714;2.454;-2.714;0.546;7;1;10;16;3
0.08571;5;4;5.698;2.453;-2.698;0.547;7;1;10;15;3
